Sociedad,Cliente,Asignación,Nº documento,Clase de documento,Fecha de documento,Fe.contabilización,Símbolo vencimiento neto,Importe en moneda local,Referencia,Doc.compensación,Cuenta de mayor,Texto
X013,3071587446,202403281228170217,1800075113,XR,3/28/2024,3/28/2024,,"134491,55",0020A00013704,1400019937,1030000,cancelan 30.04.24
X013,300004,,100055127,SA,3/27/2024,3/27/2024,,"-20734,64",,100056480,1030026,MASTER 27.03.2024
X013,300004,,100055128,SA,3/27/2024,3/27/2024,,"-18994,80",,100056480,1030026,MASTER 27.03.2024
X013,300004,,100055129,SA,3/27/2024,3/27/2024,,"-2669,23",,100056480,1030026,MASTER 27.03.2024
X013,300004,,100055131,SA,3/27/2024,3/27/2024,,"-11079,73",,100056480,1030026,MASTER 27.03.2024
X013,300004,,100055132,SA,3/27/2024,3/27/2024,,"-28358,14",,100056480,1030026,MASTER 27.03.2024
X013,300004,,100055133,SA,3/27/2024,3/27/2024,,"-10218,06",,100056480,1030026,MASTER 27.03.2024
X013,300004,,100055134,SA,3/27/2024,3/27/2024,,"-35377,56",,100056480,1030026,MASTER 27.03.2024
X013,300004,,100055135,SA,3/27/2024,3/27/2024,,"-724,47",,100056480,1030026,MASTER 27.03.2024
X013,2007775198,,1500070020,KZ,3/27/2024,3/27/2024,,"-11115,40",,1500070020,1030000,cancelacion prestaciones
X013,2011421732,,1500069974,KZ,3/27/2024,3/27/2024,,"-35000,00",,1500069974,1030000,cancelacion prestaciones
X013,2011689855,,1500069973,KZ,3/27/2024,3/27/2024,,"-20741,20",,1500069973,1030000,cancelacion prestaciones
X013,2014526759,,1500069995,KZ,3/27/2024,3/27/2024,,"-14200,00",,1500069995,1030000,cancelacion prestaciones
X013,2017329691,,1500069984,KZ,3/27/2024,3/27/2024,,"-12600,00",,1500069984,1030000,cancelacion prestaciones
X013,2017370369,,1500070001,KZ,3/27/2024,3/27/2024,,"-22900,00",,1500070001,1030000,cancelacion prestaciones
X013,2018865766,,1500069955,KZ,3/27/2024,3/27/2024,,"-75308,70",,1500069955,1030000,cancelacion prestaciones
X013,2021528982,,1500070016,KZ,3/27/2024,3/27/2024,,"-22200,00",,1500070016,1030000,cancelacion prestaciones
X013,2021731928,,1500069957,KZ,3/27/2024,3/27/2024,,"-34800,00",,1500069957,1030000,cancelacion prestaciones
X013,2022161326,,1500069956,KZ,3/27/2024,3/27/2024,,"-80400,00",,1500069956,1030000,cancelacion prestaciones
X013,2022234845,,1500070000,KZ,3/27/2024,3/27/2024,,"-138190,60",,1500070000,1030000,cancelacion prestaciones
X013,2022503159,,1500069981,KZ,3/27/2024,3/27/2024,,"-57856,50",,1500069981,1030000,cancelacion prestaciones
X013,2022650123,,1500070023,KZ,3/27/2024,3/27/2024,,"-73827,20",,1500070023,1030000,cancelacion prestaciones
X013,2023195283,,1500069996,KZ,3/27/2024,3/27/2024,,"-56116,50",,1500069996,1030000,cancelacion prestaciones
X013,2023291926,,1500069976,KZ,3/27/2024,3/27/2024,,"-61588,00",,1500069976,1030000,cancelacion prestaciones
X013,2023455234,,1500070039,KZ,3/27/2024,3/27/2024,,"-13200,00",,1500070039,1030000,cancelacion prestaciones
X013,2023670839,,1500070043,KZ,3/27/2024,3/27/2024,,"-41695,60",,1500070043,1030000,cancelacion prestaciones
X013,2024173407,,1500069999,KZ,3/27/2024,3/27/2024,,"-8600,00",,1500069999,1030000,cancelacion prestaciones
X013,2025664039,,1500069990,KZ,3/27/2024,3/27/2024,,"-47356,40",,1500069990,1030000,cancelacion prestaciones
X013,2026160915,,1500070014,KZ,3/27/2024,3/27/2024,,"-27800,00",,1500070014,1030000,cancelacion prestaciones
X013,2026794682,,1500069988,KZ,3/27/2024,3/27/2024,,"-117128,30",,1500069988,1030000,cancelacion prestaciones
X013,2026877516,,1500069982,KZ,3/27/2024,3/27/2024,,"-69257,10",,1500069982,1030000,cancelacion prestaciones
X013,2027200456,,1500069978,KZ,3/27/2024,3/27/2024,,"-12200,00",,1500069978,1030000,cancelacion prestaciones
X013,2027727158,,1500069963,KZ,3/27/2024,3/27/2024,,"-151933,60",,1500069963,1030000,cancelacion prestaciones
X013,2028149504,,1500070012,KZ,3/27/2024,3/27/2024,,"-4600,00",,1500070012,1030000,cancelacion prestaciones
X013,2028217227,,1500069987,KZ,3/27/2024,3/27/2024,,"-50200,00",,1500069987,1030000,cancelacion prestaciones
X013,2029743198,,1500069977,KZ,3/27/2024,3/27/2024,,"-74618,10",,1500069977,1030000,cancelacion prestaciones
X013,2030566443,,1500070017,KZ,3/27/2024,3/27/2024,,"-16680,10",,1500070017,1030000,cancelacion prestaciones
X013,2031439837,,1500069966,KZ,3/27/2024,3/27/2024,,"-66702,00",,1500069966,1030000,cancelacion prestaciones
X013,2031704169,,1500070011,KZ,3/27/2024,3/27/2024,,"-40638,90",,1500070011,1030000,cancelacion prestaciones
X013,2032137366,,1500070010,KZ,3/27/2024,3/27/2024,,"-65436,30",,1500070010,1030000,cancelacion prestaciones
X013,2032572490,,1500070025,KZ,3/27/2024,3/27/2024,,"-86599,40",,1500070025,1030000,cancelacion prestaciones
X013,2032800047,,1500069962,KZ,3/27/2024,3/27/2024,,"-97939,40",,1500069962,1030000,cancelacion prestaciones
X013,2032844475,,1500069971,KZ,3/27/2024,3/27/2024,,"-29400,00",,1500069971,1030000,cancelacion prestaciones
X013,2034165546,,1500069991,KZ,3/27/2024,3/27/2024,,"-15100,00",,1500069991,1030000,cancelacion prestaciones
X013,2035215211,,1500070002,KZ,3/27/2024,3/27/2024,,"-30400,00",,1500070002,1030000,cancelacion prestaciones
X013,2317704632,,1500069965,KZ,3/27/2024,3/27/2024,,"-82431,50",,1500069965,1030000,cancelacion prestaciones
X013,2319072261,,1500070004,KZ,3/27/2024,3/27/2024,,"-54700,00",,1500070004,1030000,cancelacion prestaciones
X013,2320643119,,1500069970,KZ,3/27/2024,3/27/2024,,"-31400,00",,1500069970,1030000,cancelacion prestaciones
X013,2327226990,,1500070041,KZ,3/27/2024,3/27/2024,,"-29327,00",,1500070041,1030000,cancelacion prestaciones
X013,2327361150,,1500070032,KZ,3/27/2024,3/27/2024,,"-89842,00",,1500070032,1030000,cancelacion prestaciones
X013,2328087432,,1500069983,KZ,3/27/2024,3/27/2024,,"-16900,00",,1500069983,1030000,cancelacion prestaciones
X013,2331260894,,1500069985,KZ,3/27/2024,3/27/2024,,"-4000,00",,1500069985,1030000,cancelacion prestaciones
X013,2336374827,,1500070027,KZ,3/27/2024,3/27/2024,,"-7333,50",,1500070027,1030000,cancelacion prestaciones
X013,2712833979,,1500070007,KZ,3/27/2024,3/27/2024,,"-30400,00",,1500070007,1030000,cancelacion prestaciones
X013,2713683326,,1500069972,KZ,3/27/2024,3/27/2024,,"-32176,10",,1500069972,1030000,cancelacion prestaciones
X013,2714329834,,1500070019,KZ,3/27/2024,3/27/2024,,"-13600,00",,1500070019,1030000,cancelacion prestaciones
X013,2716469659,,1500070018,KZ,3/27/2024,3/27/2024,,"-45673,30",,1500070018,1030000,cancelacion prestaciones
X013,2717800229,,1500069997,KZ,3/27/2024,3/27/2024,,"-22083,70",,1500069997,1030000,cancelacion prestaciones
X013,2718482812,,1500070044,KZ,3/27/2024,3/27/2024,,"-5914,20",,1500070044,1030000,cancelacion prestaciones
X013,2720307069,,1500070006,KZ,3/27/2024,3/27/2024,,"-50206,30",,1500070006,1030000,cancelacion prestaciones
X013,2721520705,,1500069960,KZ,3/27/2024,3/27/2024,,"-47825,20",,1500069960,1030000,cancelacion prestaciones
X013,2721703269,,1500069961,KZ,3/27/2024,3/27/2024,,"-45600,00",,1500069961,1030000,cancelacion prestaciones
X013,2722099422,,1500070026,KZ,3/27/2024,3/27/2024,,"-16000,00",,1500070026,1030000,cancelacion prestaciones
X013,2722777810,,1500070028,KZ,3/27/2024,3/27/2024,,"-8200,00",,1500070028,1030000,cancelacion prestaciones
X013,2723361202,,1500070009,KZ,3/27/2024,3/27/2024,,"-11200,00",,1500070009,1030000,cancelacion prestaciones
X013,2723382888,,1500069958,KZ,3/27/2024,3/27/2024,,"-91400,00",,1500069958,1030000,cancelacion prestaciones
X013,2724244838,,1500070029,KZ,3/27/2024,3/27/2024,,"-47453,20",,1500070029,1030000,cancelacion prestaciones
X013,2725057109,,1500069979,KZ,3/27/2024,3/27/2024,,"-42800,00",,1500069979,1030000,cancelacion prestaciones
X013,2725203805,,1500070003,KZ,3/27/2024,3/27/2024,,"-15200,00",,1500070003,1030000,cancelacion prestaciones
X013,2725226042,,1500070034,KZ,3/27/2024,3/27/2024,,"-88085,70",,1500070034,1030000,cancelacion prestaciones
X013,2725593031,,1500069993,KZ,3/27/2024,3/27/2024,,"-27195,00",,1500069993,1030000,cancelacion prestaciones
X013,2727729313,,1500070038,KZ,3/27/2024,3/27/2024,,"-14544,20",,1500070038,1030000,cancelacion prestaciones
X013,2727771162,,1500069967,KZ,3/27/2024,3/27/2024,,"-44800,00",,1500069967,1030000,cancelacion prestaciones
X013,2729922695,,1500069989,KZ,3/27/2024,3/27/2024,,"-26784,50",,1500069989,1030000,cancelacion prestaciones
X013,2731549863,,1500070015,KZ,3/27/2024,3/27/2024,,"-63841,40",,1500070015,1030000,cancelacion prestaciones
X013,2732260323,,1500069964,KZ,3/27/2024,3/27/2024,,"-15400,00",,1500069964,1030000,cancelacion prestaciones
X013,2732534066,,1500070031,KZ,3/27/2024,3/27/2024,,"-29771,80",,1500070031,1030000,cancelacion prestaciones
X013,2732769290,,1500070033,KZ,3/27/2024,3/27/2024,,"-10800,00",,1500070033,1030000,cancelacion prestaciones
X013,2733627926,,1500069959,KZ,3/27/2024,3/27/2024,,"-43440,00",,1500069959,1030000,cancelacion prestaciones
X013,2735283561,,1500069968,KZ,3/27/2024,3/27/2024,,"-51507,40",,1500069968,1030000,cancelacion prestaciones
X013,2735795615,,1500069969,KZ,3/27/2024,3/27/2024,,"-15800,00",,1500069969,1030000,cancelacion prestaciones
X013,2736395782,,1500069975,KZ,3/27/2024,3/27/2024,,"-8471,40",,1500069975,1030000,cancelacion prestaciones
X013,2736505990,,1500069992,KZ,3/27/2024,3/27/2024,,"-31592,40",,1500069992,1030000,cancelacion prestaciones
X013,2736579965,,1500069980,KZ,3/27/2024,3/27/2024,,"-22009,50",,1500069980,1030000,cancelacion prestaciones
X013,2736802941,,1500070013,KZ,3/27/2024,3/27/2024,,"-71624,10",,1500070013,1030000,cancelacion prestaciones
X013,3050005352,0004X00002775,1400019817,DZ,3/27/2024,3/27/2024,,"-445125,18",0004X00002775,1400019817,1030000,
X013,3054666243,0004X00002794,1400019836,DZ,3/27/2024,3/27/2024,,"-1195786,20",0004X00002794,1400019836,1030000,
X013,3054666243,0004X00002795,1400019837,DZ,3/27/2024,3/27/2024,,"-19459,50",0004X00002795,1400019837,1030000,
X013,3054666243,0004X00002796,1400019838,DZ,3/27/2024,3/27/2024,,"-51843,48",0004X00002796,1400019838,1030000,
X013,3058541245,202403271300310199,1600012436,XG,3/27/2024,3/27/2024,,"-57427,21",0020B00003769,1400020232,1030000,ANULA 23804
X013,3058541245,202403271331100200,1800075105,XR,3/27/2024,3/27/2024,,"57427,21",0020B00023893,1400020232,1030000,cancelan 14.06.24
X013,3067906538,0004X00002777,1400019819,DZ,3/27/2024,3/27/2024,,"-3638,49",0004X00002777,1400019819,1030000,
X013,3068436191,202403270857340165,1800075071,XR,3/27/2024,3/27/2024,,"28405,00",0020B00023859,1400020108,1030000,
X013,3068436191,202403270912350166,1800075072,XR,3/27/2024,3/27/2024,,"5850,00",0020B00023860,1400020108,1030000,
X013,3068436191,202403270945550167,1800075073,XR,3/27/2024,3/27/2024,,"79105,00",0020B00023861,1400020217,1030000,
X013,3068436191,202403270957000168,1800075074,XR,3/27/2024,3/27/2024,,"20020,00",0020B00023862,1400020108,1030000,
X013,3068436191,202403271000380169,1800075075,XR,3/27/2024,3/27/2024,,"16322,28",0020B00023863,1400020108,1030000,
X013,3068436191,202403271004010170,1800075076,XR,3/27/2024,3/27/2024,,"16640,00",0020B00023864,1400020108,1030000,
X013,3068436191,202403271022310171,1800075077,XR,3/27/2024,3/27/2024,,"8320,00",0020B00023865,1400020108,1030000,
X013,3068436191,202403271027360172,1800075078,XR,3/27/2024,3/27/2024,,"9237,28",0020B00023866,1400020108,1030000,
X013,3068436191,202403271031040173,1800075079,XR,3/27/2024,3/27/2024,,"12220,00",0020B00023867,1400020217,1030000,
X013,3068436191,202403271054380174,1800075080,XR,3/27/2024,3/27/2024,,"2470,00",0020B00023868,1400020108,1030000,
X013,3068436191,202403271056560175,1800075081,XR,3/27/2024,3/27/2024,,"9900,28",0020B00023869,1400020108,1030000,
X013,3068436191,202403271102070176,1800075082,XR,3/27/2024,3/27/2024,,"20475,00",0020B00023870,1400020108,1030000,
X013,3068436191,202403271104310177,1800075083,XR,3/27/2024,3/27/2024,,"1235,00",0020B00023871,1400020108,1030000,
X013,3068436191,202403271107280178,1800075084,XR,3/27/2024,3/27/2024,,"8320,00",0020B00023872,1400020108,1030000,
X013,3068436191,202403271111320179,1800075085,XR,3/27/2024,3/27/2024,,"1235,00",0020B00023873,1400020108,1030000,
X013,3068436191,202403271114100180,1800075086,XR,3/27/2024,3/27/2024,,"7540,00",0020B00023874,1400020108,1030000,
X013,3068436191,202403271119340181,1800075087,XR,3/27/2024,3/27/2024,,"7020,00",0020B00023875,1400020108,1030000,
X013,3068436191,202403271123280182,1800075088,XR,3/27/2024,3/27/2024,,"1235,00",0020B00023876,1400020108,1030000,
X013,3068436191,202403271126460183,1800075089,XR,3/27/2024,3/27/2024,,"23797,28",0020B00023877,1400020108,1030000,
X013,3068436191,202403271130300184,1800075090,XR,3/27/2024,3/27/2024,,"14820,00",0020B00023878,1400020108,1030000,
X013,3068436191,202403271144460185,1800075091,XR,3/27/2024,3/27/2024,,"16510,00",0020B00023879,1400020108,1030000,
X013,3068436191,202403271153290186,1800075092,XR,3/27/2024,3/27/2024,,"2470,00",0020B00023880,1400020217,1030000,
X013,3068436191,202403271211540187,1800075093,XR,3/27/2024,3/27/2024,,"3257,28",0020B00023881,1400020108,1030000,
X013,3068436191,202403271215290188,1800075094,XR,3/27/2024,3/27/2024,,"24180,00",0020B00023882,1400020108,1030000,
X013,3068436191,202403271218120189,1800075095,XR,3/27/2024,3/27/2024,,"15470,00",0020B00023883,1400020108,1030000,
X013,3068436191,202403271221300190,1800075096,XR,3/27/2024,3/27/2024,,"4109,56",0020B00023884,1400020108,1030000,
X013,3068436191,202403271226240191,1800075097,XR,3/27/2024,3/27/2024,,"7280,00",0020B00023885,1400020108,1030000,
X013,3068436191,202403271227370192,1800075098,XR,3/27/2024,3/27/2024,,"3705,00",0020B00023886,1400020108,1030000,
X013,3068436191,202403271235580193,1800075099,XR,3/27/2024,3/27/2024,,"10472,28",0020B00023887,1400020108,1030000,
X013,3068436191,202403271238240194,1800075100,XR,3/27/2024,3/27/2024,,"6565,00",0020B00023888,1400020108,1030000,
X013,3068436191,202403271243230195,1800075101,XR,3/27/2024,3/27/2024,,"1235,00",0020B00023889,1400020108,1030000,
X013,3068436191,202403271246260196,1800075102,XR,3/27/2024,3/27/2024,,"2470,00",0020B00023890,1400020108,1030000,
X013,3068436191,202403271249540197,1800075103,XR,3/27/2024,3/27/2024,,"3575,00",0020B00023891,1400020108,1030000,
X013,3068436191,202403271254280198,1800075104,XR,3/27/2024,3/27/2024,,"7085,00",0020B00023892,1400020108,1030000,
X013,3068715616,202403270739320156,1800075062,XR,3/27/2024,3/27/2024,,"15287,48",0020B00023850,1400020156,1030000,
X013,3068715616,202403270747570157,1800075063,XR,3/27/2024,3/27/2024,,"6175,00",0020B00023851,1400020156,1030000,
X013,3068715616,202403270756260158,1800075064,XR,3/27/2024,3/27/2024,,"1235,00",0020B00023852,1400020156,1030000,
X013,3068715616,202403270804020159,1800075065,XR,3/27/2024,3/27/2024,,"25657,84",0020B00023853,1400020156,1030000,
X013,3068715616,202403270808530160,1800075066,XR,3/27/2024,3/27/2024,,"7085,00",0020B00023854,1400020155,1030000,
X013,3068715616,202403270816550161,1800075067,XR,3/27/2024,3/27/2024,,"2470,00",0020B00023855,1400020156,1030000,
X013,3068715616,202403270821490162,1800075068,XR,3/27/2024,3/27/2024,,"7085,00",0020B00023856,1400020156,1030000,
X013,3068715616,202403270827140163,1800075069,XR,3/27/2024,3/27/2024,,"17875,00",0020B00023857,1400020156,1030000,
X013,3068715616,202403270830170164,1800075070,XR,3/27/2024,3/27/2024,,"28405,00",0020B00023858,1400020156,1030000,
X013,3071046420,,100055145,SA,3/27/2024,3/27/2024,,"917,28",,100056499,1030000,NC FC 20-13325 - COMPENSAR CON ORIGINAL
X013,3071046420,,100055145,SA,3/27/2024,3/27/2024,,"-917,28",,100055146,1030000,NC FC 20-13325 - COMPENSAR CON ORIGINAL
X013,3071046420,0004X00002773,1400019815,DZ,3/27/2024,3/27/2024,,"-1040,00",0004X00002773,100055146,1030000,Realizado - RED ARGENTINA 30710464207 sin detalle
X013,3071522673,0004X00002778,1400019820,DZ,3/27/2024,3/27/2024,,"-109388,58",0004X00002778,1400019820,1030000,
X013,3071522673,202403271509270203,1800075108,XR,3/27/2024,3/27/2024,,"1170633,15",0020A00013703,1400019869,1030000,
X013,3071544581,0004X00002797,1400019839,DZ,3/27/2024,3/27/2024,,"-2600000,00",0004X00002797,1400019839,1030000,
X013,3071544581,202401020808432310,1400019840,DZ,3/27/2024,3/27/2024,,"-16500000,00",0004X00002798,1400019915,1030000,
X013,3071587446,0004X00002782,1400019824,DZ,3/27/2024,3/27/2024,,"-1090480,99",0004X00002782,1400019824,1030000,
X013,300004,,100055099,SA,3/26/2024,3/26/2024,,"-27380,68",,100056480,1030026,MASTER 26.03.2024
X013,300004,,100055100,SA,3/26/2024,3/26/2024,,"-25449,03",,100056480,1030026,MASTER 26.03.2024
X013,300004,,100055101,SA,3/26/2024,3/26/2024,,"-69229,63",,100056480,1030026,MASTER 26.03.2024
X013,300004,,100055102,SA,3/26/2024,3/26/2024,,"-40051,41",,100056480,1030026,MASTER 26.03.2024
X013,300004,,100055103,SA,3/26/2024,3/26/2024,,"-29570,33",,100056480,1030026,MASTER 26.03.2024
X013,300004,,100055104,SA,3/26/2024,3/26/2024,,"-25221,60",,100056480,1030026,MASTER 26.03.2024
X013,300004,,100055105,SA,3/26/2024,3/26/2024,,"-26208,36",,100056480,1030026,MASTER 26.03.2024
X013,300004,,100055106,SA,3/26/2024,3/26/2024,,"-6246,94",,100056480,1030026,MASTER 26.03.2024
X013,500000,202404090827020408,1600012495,XG,3/26/2024,3/26/2024,,"-8563,50",0048B00000335,100059816,1030000,
X013,500000,202404090828170409,1600012496,XG,3/26/2024,3/26/2024,,"-825,00",0048B00000336,100059816,1030000,
X013,500000,202404090828480410,1600012497,XG,3/26/2024,3/26/2024,,"-23696,55",0048B00000337,100059816,1030000,
X013,500000,202403261339080151,1800075057,XR,3/26/2024,3/26/2024,,"23696,55",0020B00023847,100059816,1030000,
X013,500000,202403261341070152,1800075058,XR,3/26/2024,3/26/2024,,"8563,50",0020B00023845,100059816,1030000,
X013,500000,202403261341130153,1800075059,XR,3/26/2024,3/26/2024,,"825,00",0020B00023846,100059816,1030000,
X013,3051591148,0004X00002771,1400019813,DZ,3/26/2024,3/26/2024,,"-15925,42",0004X00002771,1400019813,1030000,
X013,3052276392,0004X00002745,1400019787,DZ,3/26/2024,3/26/2024,,"-317653,02",0004X00002745,1400019787,1030000,
X013,3054666243,0004X00002747,1400019789,DZ,3/26/2024,3/26/2024,,"-301644,00",0004X00002747,1400019789,1030000,
X013,3065767771,0004X00002787,1400019829,DZ,3/26/2024,3/26/2024,,"-76323,49",0004X00002787,1400019829,1030000,
X013,3065767771,0004X00002788,1400019830,DZ,3/26/2024,3/26/2024,,"-11672,75",0004X00002788,1400019830,1030000,
X013,3067655430,0004X00002770,1400019812,DZ,3/26/2024,3/26/2024,,"-8860,00",0004X00002770,1400019812,1030000,
X013,3068589307,0004X00002760,1400019802,DZ,3/26/2024,3/26/2024,,"-49175,95",0004X00002760,1400019802,1030000,
X013,3068715616,202403261049410146,1800075052,XR,3/26/2024,3/26/2024,,"1235,00",0020B00023840,1400020156,1030000,
X013,3068715616,202403261109570147,1800075053,XR,3/26/2024,3/26/2024,,"21320,00",0020B00023841,1400020156,1030000,
X013,3068715616,202403261130500148,1800075054,XR,3/26/2024,3/26/2024,,"1235,00",0020B00023842,1400020156,1030000,
X013,3068715616,202403261150130149,1800075055,XR,3/26/2024,3/26/2024,,"8320,00",0020B00023843,1400020156,1030000,
X013,3068715616,202403261227280150,1800075056,XR,3/26/2024,3/26/2024,,"12935,00",0020B00023844,1400020156,1030000,
X013,3068715616,202403261530230154,1800075060,XR,3/26/2024,3/26/2024,,"9323,65",0020B00023848,1400020156,1030000,
X013,3068715616,202403261534460155,1800075061,XR,3/26/2024,3/26/2024,,"6240,00",0020B00023849,1400020156,1030000,
X013,3068833954,0004X00002776,1400019818,DZ,3/26/2024,3/26/2024,,"-451292,49",0004X00002776,1400019818,1030000,
X013,3071522673,202311281024011590,100055108,AB,3/26/2024,3/26/2024,,"-207148,49",,1400020262,1030000,20-13087 pago a cuenta 21.03.24 - saldos
X013,3071522673,,100055108,AB,3/26/2024,3/26/2024,,"207148,49",,100055108,1030000,
X013,3071522673,0004X00002774,1400019816,DZ,3/26/2024,3/26/2024,,"-158819,26",0004X00002774,1400019816,1030000,
X013,3071587446,0004X00002781,1400019823,DZ,3/26/2024,3/26/2024,,"-205872,76",0004X00002781,1400019843,1030000,Realizado - Saldo a favor mail 3.4.24
X013,3071587446,0004X00002781,1400019823,DZ,3/26/2024,3/26/2024,,"-494640,11",0004X00002781,1400019823,1030000,
X013,300004,,100055091,SA,3/25/2024,3/25/2024,,"-7299,90",,100056480,1030026,MASTER 25.03.2024
X013,300004,,100055092,SA,3/25/2024,3/25/2024,,"-111034,73",,100056480,1030026,MASTER 25.03.2024
X013,300004,,100055093,SA,3/25/2024,3/25/2024,,"-34096,01",,100056480,1030026,MASTER 25.03.2024
X013,300004,,100055094,SA,3/25/2024,3/25/2024,,"-33969,36",,100056480,1030026,MASTER 25.03.2024
X013,300004,,100055095,SA,3/25/2024,3/25/2024,,"-55503,60",,100056480,1030026,MASTER 25.03.2024
X013,300004,,100055096,SA,3/25/2024,3/25/2024,,"-24600,29",,100056480,1030026,MASTER 25.03.2024
X013,300004,,100055097,SA,3/25/2024,3/25/2024,,"-29347,72",,100056480,1030026,MASTER 25.03.2024
X013,300004,,100055098,SA,3/25/2024,3/25/2024,,"-1430,03",,100056480,1030026,MASTER 25.03.2024
X013,2007775198,202403251640470129,1800075035,XR,3/25/2024,3/25/2024,,"11115,40",0050A00004968,1500070020,1030000,ALQUILER DE CONSULTORIO DICIEMBRE 2023.
X013,2011421732,202403251558010095,1800075001,XR,3/25/2024,3/25/2024,,"35000,00",0050A00004937,1500069974,1030000,ALQUILER DE CONSULTORIO DICIEMBRE 2023.
X013,2011689855,202403251557050094,1800075000,XR,3/25/2024,3/25/2024,,"20741,20",0050A00004936,1500069973,1030000,ALQUILER DE CONSULTORIO DICIEMBRE 2023.
X013,2013536659,202403251215200070,1800074977,XR,3/25/2024,3/25/2024,,"982,40",0050B00000174,1400020120,1030000,ALQUILER DE CONSULTORIO DICIEMBRE 2023.
X013,2014526759,202403251614140107,1800075013,XR,3/25/2024,3/25/2024,,"14200,00",0050A00004949,1500069995,1030000,ALQUILER DE CONSULTORIO DICIEMBRE 2023.
X013,2017329691,202403251603130101,1800075007,XR,3/25/2024,3/25/2024,,"12600,00",0050A00004943,1500069984,1030000,ALQUILER DE CONSULTORIO DICIEMBRE 2023.
X013,2017370369,202403251624400114,1800075020,XR,3/25/2024,3/25/2024,,"22900,00",0050A00004954,1500070001,1030000,ALQUILER DE CONSULTORIO DICIEMBRE 2023.
X013,2018865766,202403251542230078,1800074984,XR,3/25/2024,3/25/2024,,"75308,70",0050A00004922,1500069955,1030000,ALQUILER DE CONSULTORIO DICIEMBRE 2023.
X013,2021528982,202403251633340125,1800075031,XR,3/25/2024,3/25/2024,,"22200,00",0050A00004964,1500070016,1030000,ALQUILER DE CONSULTORIO DICIEMBRE 2023.
X013,2021731928,202403251546050082,1800074988,XR,3/25/2024,3/25/2024,,"34800,00",0050A00004925,1500069957,1030000,ALQUILER DE CONSULTORIO DICIEMBRE 2023.
X013,2022161326,202403251543060080,1800074986,XR,3/25/2024,3/25/2024,,"80400,00",0050A00004923,1500069956,1030000,ALQUILER DE CONSULTORIO DICIEMBRE 2023.
X013,2022234845,202403251623490113,1800075019,XR,3/25/2024,3/25/2024,,"138190,60",0050A00004953,1500070000,1030000,ALQUILER DE CONSULTORIO DICIEMBRE 2023.
X013,2022503159,202403251600300098,1800075004,XR,3/25/2024,3/25/2024,,"57856,50",0050A00004940,1500069981,1030000,ALQUILER DE CONSULTORIO DICIEMBRE 2023.
X013,2022650123,202403251641330130,1800075036,XR,3/25/2024,3/25/2024,,"73827,20",0050A00004969,1500070023,1030000,ALQUILER DE CONSULTORIO DICIEMBRE 2023.
X013,2023195283,202403251615110108,1800075014,XR,3/25/2024,3/25/2024,,"56116,50",0050A00004950,1500069996,1030000,ALQUILER DE CONSULTORIO DICIEMBRE 2023.
X013,2023291926,202403251558470096,1800075002,XR,3/25/2024,3/25/2024,,"61588,00",0050A00004938,1500069976,1030000,ALQUILER DE CONSULTORIO DICIEMBRE 2023.
X013,2023455234,202403251651460140,1800075046,XR,3/25/2024,3/25/2024,,"13200,00",0050A00004979,1500070039,1030000,ALQUILER DE CONSULTORIO DICIEMBRE 2023.
