EMPRESA;ClaveCtaCtte;SAP- Rep Deudores.ClaveSap;FECHA;DEBE;HABER;SALDO
200 PARTICULARES;20240129-15600;20240129-15600;lunes, 29 de enero de 2024;15600;0;719621,987
200 PARTICULARES;20240129-49529,3;20240129-49529,3;lunes, 29 de enero de 2024;49529,3;0;598216,587
200 PARTICULARES;20240129-42750;20240129-42750;lunes, 29 de enero de 2024;42750;0;65508,287
200 PARTICULARES;20240129-23400;20240129-23400;lunes, 29 de enero de 2024;23400;0;667066,587
200 PARTICULARES;20240129-32334,3;20240129-32334,3;lunes, 29 de enero de 2024;32334,3;0;378358,887
200 PARTICULARES;20240129-76285,9;20240129-76285,9;lunes, 29 de enero de 2024;76285,9;0;575579,687
200 PARTICULARES;20240129-20400;20240129-20400;lunes, 29 de enero de 2024;20400;0;581680,687
200 PARTICULARES;20240129-3750;20240129-3750;lunes, 29 de enero de 2024;3750;0;542080,687
200 PARTICULARES;20240129-6750;20240129-6750;lunes, 29 de enero de 2024;6750;0;-23658,813
200 PARTICULARES;20240129-28650;20240129-28650;lunes, 29 de enero de 2024;28650;0;953520,487
200 PARTICULARES;20240129-31200;20240129-31200;lunes, 29 de enero de 2024;31200;0;727216,587
200 PARTICULARES;20240129-18240;20240129-18240;lunes, 29 de enero de 2024;18240;0;979803,787
200 PARTICULARES;20240129-22800;20240129-22800;lunes, 29 de enero de 2024;22800;0;62753,787
200 PARTICULARES;20240129-28725,7;20240129-28725,7;lunes, 29 de enero de 2024;28725,7;0;234964,587
200 PARTICULARES;20240129-3387,5;20240129-3387,5;lunes, 29 de enero de 2024;3387,5;0;274967,087
200 PARTICULARES;20240129-69237,8;20240129-69237,8;lunes, 29 de enero de 2024;69237,8;0;22758,287
200 PARTICULARES;20240129-115340,4;20240129-115340,4;lunes, 29 de enero de 2024;115340,4;0;531887,287
200 PARTICULARES;20240129-21930,7;20240129-21930,7;lunes, 29 de enero de 2024;21930,7;0;149968,687
200 PARTICULARES;20240129-45750;20240129-45750;lunes, 29 de enero de 2024;45750;0;195718,687
200 PARTICULARES;20240129-13050;20240129-13050;lunes, 29 de enero de 2024;13050;0;-30408,813
200 PARTICULARES;20240129-12150;20240129-12150;lunes, 29 de enero de 2024;12150;0;924870,487
200 PARTICULARES;20240129-60150;20240129-60150;lunes, 29 de enero de 2024;60150;0;39953,787
200 PARTICULARES;20240129-29940;20240129-29940;lunes, 29 de enero de 2024;29940;0;637179,387
200 PARTICULARES;20240129-11400;20240129-11400;lunes, 29 de enero de 2024;11400;0;648579,387
200 PARTICULARES;20240129-18300;20240129-18300;lunes, 29 de enero de 2024;18300;0;266329,587
200 PARTICULARES;20240129-14550;20240129-14550;lunes, 29 de enero de 2024;14550;0;80058,287
200 PARTICULARES;20240129-14550;20240129-14550;lunes, 29 de enero de 2024;14550;0;358414,887
200 PARTICULARES;20240129-68713,8;20240129-68713,8;lunes, 29 de enero de 2024;68713,8;0;485493,787
200 PARTICULARES;20240129-24250;20240129-24250;lunes, 29 de enero de 2024;24250;0;343864,887
200 PARTICULARES;20240129-38421,1;20240129-38421,1;lunes, 29 de enero de 2024;38421,1;0;416779,987
200 PARTICULARES;20240129-45450;20240129-45450;lunes, 29 de enero de 2024;45450;0;643666,587
200 PARTICULARES;20240129-41667,9;20240129-41667,9;lunes, 29 de enero de 2024;41667,9;0;248029,587
200 PARTICULARES;20240129-5250;20240129-5250;lunes, 29 de enero de 2024;5250;0;271579,587
200 PARTICULARES;20240129-21984,4;20240129-21984,4;lunes, 29 de enero de 2024;21984,4;0;380399,287
200 PARTICULARES;20240129-44512,7;20240129-44512,7;lunes, 29 de enero de 2024;44512,7;0;393446,887
200 PARTICULARES;20240129-16800;20240129-16800;lunes, 29 de enero de 2024;16800;0;548687,287
200 PARTICULARES;20240129-16800;20240129-16800;lunes, 29 de enero de 2024;16800;0;718250,187
200 PARTICULARES;20240129-31659,7;20240129-31659,7;lunes, 29 de enero de 2024;31659,7;0;607239,387
200 PARTICULARES;20240129-13800;20240129-13800;lunes, 29 de enero de 2024;13800;0;499293,787
200 PARTICULARES;20240129-32580;20240129-32580;lunes, 29 de enero de 2024;32580;0;128037,987
200 PARTICULARES;20240129-29471,3;20240129-29471,3;lunes, 29 de enero de 2024;29471,3;0;63044,587
200 PARTICULARES;20240129-15750;20240129-15750;lunes, 29 de enero de 2024;15750;0;78794,587
200 PARTICULARES;20240129-7147,6;20240129-7147,6;lunes, 29 de enero de 2024;7147,6;0;85942,187
200 PARTICULARES;20240129-16800;20240129-16800;lunes, 29 de enero de 2024;16800;0;548687,287
200 PARTICULARES;20240129-16800;20240129-16800;lunes, 29 de enero de 2024;16800;0;718250,187
200 PARTICULARES;20240129-53090,6;20240129-53090,6;lunes, 29 de enero de 2024;53090,6;0;31923,287
200 PARTICULARES;20240325-11115,4;20240325-11115,4;lunes, 25 de marzo de 2024;11115,4;0;353100,881
200 PARTICULARES;20240325-35000;20240325-35000;lunes, 25 de marzo de 2024;35000;0;50217,537
200 PARTICULARES;20240325-20741,2;20240325-20741,2;lunes, 25 de marzo de 2024;20741,2;0;15217,537
200 PARTICULARES;20240325-982,4;20240325-982,4;lunes, 25 de marzo de 2024;982,4;0;711607,514
200 PARTICULARES;20240325-14200;20240325-14200;lunes, 25 de marzo de 2024;14200;0;625901,437
200 PARTICULARES;20240325-12600;20240325-12600;lunes, 25 de marzo de 2024;12600;0;343037,237
200 PARTICULARES;20240325-22900;20240325-22900;lunes, 25 de marzo de 2024;22900;0;879100,709
200 PARTICULARES;20240325-75308,7;20240325-75308,7;lunes, 25 de marzo de 2024;75308,7;0;228709,611
200 PARTICULARES;20240325-22200;20240325-22200;lunes, 25 de marzo de 2024;22200;0;266032,081
200 PARTICULARES;20240325-34800;20240325-34800;lunes, 25 de marzo de 2024;34800;0;456952,833
200 PARTICULARES;20240325-80400;20240325-80400;lunes, 25 de marzo de 2024;80400;0;330752,833
200 PARTICULARES;20240325-138190,6;20240325-138190,6;lunes, 25 de marzo de 2024;138190,6;0;856200,709
200 PARTICULARES;20240325-57856,5;20240325-57856,5;lunes, 25 de marzo de 2024;57856,5;0;244280,137
200 PARTICULARES;20240325-73827,2;20240325-73827,2;lunes, 25 de marzo de 2024;73827,2;0;426928,081
200 PARTICULARES;20240325-73827,2;20240325-73827,2;lunes, 25 de marzo de 2024;73827,2;0;426928,081
200 PARTICULARES;20240325-73827,2;20240325-73827,2;lunes, 25 de marzo de 2024;73827,2;0;500755,281
200 PARTICULARES;20240325-73827,2;20240325-73827,2;lunes, 25 de marzo de 2024;73827,2;0;500755,281
200 PARTICULARES;20240325-56116,5;20240325-56116,5;lunes, 25 de marzo de 2024;56116,5;0;682017,937
200 PARTICULARES;20240325-61588;20240325-61588;lunes, 25 de marzo de 2024;61588;0;111805,537
200 PARTICULARES;20240325-13200;20240325-13200;lunes, 25 de marzo de 2024;13200;0;889251,581
200 PARTICULARES;20240325-41695,6;20240325-41695,6;lunes, 25 de marzo de 2024;41695,6;0;990674,181
200 PARTICULARES;20240325-8600;20240325-8600;lunes, 25 de marzo de 2024;8600;0;718010,109
200 PARTICULARES;20240325-47356,4;20240325-47356,4;lunes, 25 de marzo de 2024;47356,4;0;557721,937
200 PARTICULARES;20240325-27800;20240325-27800;lunes, 25 de marzo de 2024;27800;0;179990,681
200 PARTICULARES;20240325-117128,3;20240325-117128,3;lunes, 25 de marzo de 2024;117128,3;0;510365,537
200 PARTICULARES;20240325-69257,1;20240325-69257,1;lunes, 25 de marzo de 2024;69257,1;0;313537,237
200 PARTICULARES;20240325-12200;20240325-12200;lunes, 25 de marzo de 2024;12200;0;593291,514
200 PARTICULARES;20240325-151933,6;20240325-151933,6;lunes, 25 de marzo de 2024;151933,6;0;745751,633
200 PARTICULARES;20240325-4600;20240325-4600;lunes, 25 de marzo de 2024;4600;0;639001,014
200 PARTICULARES;20240325-50200;20240325-50200;lunes, 25 de marzo de 2024;50200;0;393237,237
200 PARTICULARES;20240325-74618,1;20240325-74618,1;lunes, 25 de marzo de 2024;74618,1;0;186423,637
200 PARTICULARES;20240325-16680,1;20240325-16680,1;lunes, 25 de marzo de 2024;16680,1;0;282712,181
200 PARTICULARES;20240325-66702;20240325-66702;lunes, 25 de marzo de 2024;66702;0;462512,714
200 PARTICULARES;20240325-40638,9;20240325-40638,9;lunes, 25 de marzo de 2024;40638,9;0;152190,681
200 PARTICULARES;20240325-65436,3;20240325-65436,3;lunes, 25 de marzo de 2024;65436,3;0;111551,781
200 PARTICULARES;20240325-86599,4;20240325-86599,4;lunes, 25 de marzo de 2024;86599,4;0;587354,681
200 PARTICULARES;20240325-97939,4;20240325-97939,4;lunes, 25 de marzo de 2024;97939,4;0;395810,714
200 PARTICULARES;20240325-29400;20240325-29400;lunes, 25 de marzo de 2024;29400;0;962300,237
200 PARTICULARES;20240325-15100;20240325-15100;lunes, 25 de marzo de 2024;15100;0;634401,014
200 PARTICULARES;20240325-30400;20240325-30400;lunes, 25 de marzo de 2024;30400;0;34915,481
200 PARTICULARES;20240325-30400;20240325-30400;lunes, 25 de marzo de 2024;30400;0;34915,481
200 PARTICULARES;20240325-30400;20240325-30400;lunes, 25 de marzo de 2024;30400;0;919651,581
200 PARTICULARES;20240325-30400;20240325-30400;lunes, 25 de marzo de 2024;30400;0;919651,581
200 PARTICULARES;20240325-82431,5;20240325-82431,5;lunes, 25 de marzo de 2024;82431,5;0;856700,237
200 PARTICULARES;20240325-54700;20240325-54700;lunes, 25 de marzo de 2024;54700;0;949000,709
200 PARTICULARES;20240325-31400;20240325-31400;lunes, 25 de marzo de 2024;31400;0;932900,237
200 PARTICULARES;20240325-29327;20240325-29327;lunes, 25 de marzo de 2024;29327;0;948978,581
200 PARTICULARES;20240325-89842;20240325-89842;lunes, 25 de marzo de 2024;89842;0;762621,681
200 PARTICULARES;20240325-16900;20240325-16900;lunes, 25 de marzo de 2024;16900;0;330437,237
200 PARTICULARES;20240325-4000;20240325-4000;lunes, 25 de marzo de 2024;4000;0;619301,014
200 PARTICULARES;20240325-7333,5;20240325-7333,5;lunes, 25 de marzo de 2024;7333,5;0;734941,014
200 PARTICULARES;20240325-32176,1;20240325-32176,1;lunes, 25 de marzo de 2024;32176,1;0;994476,337
200 PARTICULARES;20240325-13600;20240325-13600;lunes, 25 de marzo de 2024;13600;0;341985,481
200 PARTICULARES;20240325-45673,3;20240325-45673,3;lunes, 25 de marzo de 2024;45673,3;0;328385,481
200 PARTICULARES;20240325-22083,7;20240325-22083,7;lunes, 25 de marzo de 2024;22083,7;0;709410,109
200 PARTICULARES;20240325-5914,2;20240325-5914,2;lunes, 25 de marzo de 2024;5914,2;0;996588,381
200 PARTICULARES;20240325-50206,3;20240325-50206,3;lunes, 25 de marzo de 2024;50206,3;0;4515,481
200 PARTICULARES;20240325-47825,2;20240325-47825,2;lunes, 25 de marzo de 2024;47825,2;0;548218,033
200 PARTICULARES;20240325-45600;20240325-45600;lunes, 25 de marzo de 2024;45600;0;593818,033
200 PARTICULARES;20240325-16000;20240325-16000;lunes, 25 de marzo de 2024;16000;0;727607,514
200 PARTICULARES;20240325-8200;20240325-8200;lunes, 25 de marzo de 2024;8200;0;595554,681
200 PARTICULARES;20240325-11200;20240325-11200;lunes, 25 de marzo de 2024;11200;0;46115,481
200 PARTICULARES;20240325-91400;20240325-91400;lunes, 25 de marzo de 2024;91400;0;422152,833
200 PARTICULARES;20240325-47453,2;20240325-47453,2;lunes, 25 de marzo de 2024;47453,2;0;643007,881
200 PARTICULARES;20240325-42800;20240325-42800;lunes, 25 de marzo de 2024;42800;0;505312,714
200 PARTICULARES;20240325-15200;20240325-15200;lunes, 25 de marzo de 2024;15200;0;894300,709
200 PARTICULARES;20240325-88085,7;20240325-88085,7;lunes, 25 de marzo de 2024;88085,7;0;861507,381
200 PARTICULARES;20240325-27195;20240325-27195;lunes, 25 de marzo de 2024;27195;0;611701,437
200 PARTICULARES;20240325-14544,2;20240325-14544,2;lunes, 25 de marzo de 2024;14544,2;0;876051,581
200 PARTICULARES;20240325-44800;20240325-44800;lunes, 25 de marzo de 2024;44800;0;901500,237
200 PARTICULARES;20240325-26784,5;20240325-26784,5;lunes, 25 de marzo de 2024;26784,5;0;584506,437
200 PARTICULARES;20240325-63841,4;20240325-63841,4;lunes, 25 de marzo de 2024;63841,4;0;243832,081
200 PARTICULARES;20240325-15400;20240325-15400;lunes, 25 de marzo de 2024;15400;0;774268,737
200 PARTICULARES;20240325-29771,8;20240325-29771,8;lunes, 25 de marzo de 2024;29771,8;0;672779,681
200 PARTICULARES;20240325-10800;20240325-10800;lunes, 25 de marzo de 2024;10800;0;773421,681
200 PARTICULARES;20240325-43440;20240325-43440;lunes, 25 de marzo de 2024;43440;0;500392,833
200 PARTICULARES;20240325-51507,4;20240325-51507,4;lunes, 25 de marzo de 2024;51507,4;0;556820,114
200 PARTICULARES;20240325-15800;20240325-15800;lunes, 25 de marzo de 2024;15800;0;572620,114
200 PARTICULARES;20240325-8471,4;20240325-8471,4;lunes, 25 de marzo de 2024;8471,4;0;581091,514
200 PARTICULARES;20240325-31592,4;20240325-31592,4;lunes, 25 de marzo de 2024;31592,4;0;153400,911
200 PARTICULARES;20240325-22009,5;20240325-22009,5;lunes, 25 de marzo de 2024;22009,5;0;615301,014
200 PARTICULARES;20240325-71624,1;20240325-71624,1;lunes, 25 de marzo de 2024;71624,1;0;710625,114
200 PARTICULARES;20240326-23696,55;20240326-23696,55;martes, 26 de marzo de 2024;23696,55;0;734971,793
200 PARTICULARES;20240326-8563,5;20240326-8563,5;martes, 26 de marzo de 2024;8563,5;0;743535,293
200 PARTICULARES;20240326-825;20240326-825;martes, 26 de marzo de 2024;825;0;744360,293
200 PARTICULARES;20240319-158076,840;20240319-158076,840;martes, 19 de marzo de 2024;158076,845;0;-551116,775
200 PARTICULARES;20240319-205637,2;20240319-205637,2;martes, 19 de marzo de 2024;205637,198;0;-345479,577
200 PARTICULARES;20240315-37440;20240315-37440;viernes, 15 de marzo de 2024;37440;0;109412,252
200 PARTICULARES;20240311-156090;20240311-156090;lunes, 11 de marzo de 2024;156090;0;664628,72
200 PARTICULARES;20240308-325218,3;20240308-325218,3;viernes, 8 de marzo de 2024;325218,303;0;567602,311
200 PARTICULARES;20240308-17914,51;20240308-17914,51;viernes, 8 de marzo de 2024;17914,505;0;585516,816
200 PARTICULARES;20240209-276947,42;20240209-276947,42;viernes, 9 de febrero de 2024;276947,417;0;460686,404
200 PARTICULARES;20240209-67575,85;20240209-67575,85;viernes, 9 de febrero de 2024;67575,85;0;824421,135
