FECHA,NUMERO DE SUCURSAL,NUMERO DE FACTURA,IMPORTE,FACTURA,NOMBRE_EMPRESA,NOMBRE_CONVENIO,NOTA_1_FACTURA,NOTA_2_FACTURA,NOTA_1,NOTA_2,TIPO DE FACTURA
"miércoles, 13 de marzo de 2024",20,3746,31500,NC,90 - ASOCIART ART,90 - ASOCIART,CPTO:DEBITO PARCIAL S/FB 20-23150 - SINIESTRO N°0-581812,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"jueves, 7 de marzo de 2024",20,3744,"54486,19",NC,133 - O.S. P.E.D.Y C.,133 - UTEDYC,CPTO:DEBITO PARCIAL S/FB 20-23244,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"jueves, 7 de marzo de 2024",20,3743,"410120,27",NC,144 - ASOCIACION MUTUAL SANCOR116190,144 - SANCOR,CPTO:DEBITO PARCIAL S/FB 20-23126 - INTERNACION,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"miércoles, 28 de febrero de 2024",20,3741,"454654,65",NC,144 - ASOCIACION MUTUAL SANCOR116190,144 - SANCOR,CPTO:DÉBITO PARCIAL S/FB 20-23379 INTERNACIONES,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"miércoles, 28 de febrero de 2024",20,3740,"153,71",NC,95 - PREVENCION ART (35450),95 - PREVENCION ART,CPTO:DÉBITO PARCIAL S/FB 20-23216 SINIESTRO 2575033,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"miércoles, 28 de febrero de 2024",20,3739,"16,39",NC,95 - PREVENCION ART (35450),95 - PREVENCION ART,CPTO:DÉBITO PARCIAL S/FB 20-23201 SINIESTRO 2668531,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"miércoles, 28 de febrero de 2024",20,3738,"22,29",NC,95 - PREVENCION ART (35450),95 - PREVENCION ART,CPTO:DÉBITO PARCIAL S/FB 20-23185 SINIESTRO 2592041,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"miércoles, 28 de febrero de 2024",20,3737,391,NC,95 - PREVENCION ART (35450),95 - PREVENCION ART,CPTO:DÉBITO PARCIAL S/FB 20-23182 SINIESTRO 26644190,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"miércoles, 28 de febrero de 2024",20,3736,"458,19",NC,95 - PREVENCION ART (35450),95 - PREVENCION ART,CPTO:DÉBITO PARCIAL S/FB 20-23174 SINIESTRO 2649697,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"miércoles, 28 de febrero de 2024",20,3735,"11345,37",NC,58 - O.S. PORTUARIOS ARGENTINOS,58 - O.S.P.A. (PORTUARIOS,CPTO:DÉBITO PARCIAL S/FB 20-23264 INTERNACIÓN,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"jueves, 22 de febrero de 2024",20,3734,"21871,52",NC,151 - O.S. C.T.C.P. - (UTA),1151,CPTO:DÉBITO PARCIAL S/FB 20-23383 INTERNACIÓN CON PRESUPUESTO,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"jueves, 22 de febrero de 2024",20,3733,"66847,75",NC,144 - ASOCIACION MUTUAL SANCOR116190,144 - SANCOR,CPTO:ANULA FC B-20-23676 MAL GENERADA,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"jueves, 22 de febrero de 2024",20,3732,14235,NC,90 - ASOCIART ART,90 - ASOCIART,CPTO:ANULA FC B-20-23665 MAL GENERADA,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"miércoles, 21 de febrero de 2024",20,3731,"133396,2",NC,34 - O.S. U.O.M.R.A. - (RÌO GRANDE),34 - U O M - R.GDE,CPTO:ANULA FC B-20-23637 MAL GENERADA,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"jueves, 22 de febrero de 2024",20,3730,"31624,84",NC,73 - O.S. D.O.P. (MAESTROS PRIVADOS),73,CPTO:DÉBITO PARCIAL S/F 20-23405 INTERNACION Y AMBULATORIO,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"martes, 20 de febrero de 2024",20,3729,"63959,54",NC,133 - O.S. P.E.D.Y C.,133 - UTEDYC,CPTO:DÉBITO PARCIAL S/FB 20-22931 INTERNACION-AMBULATORIOS,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"martes, 20 de febrero de 2024",20,3728,"221989,45",NC,1 - O.S. P.SANIDAD ARGENTINA,1 - SANIDAD,CPTO:ANULA FC B-20-23587,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"lunes, 19 de febrero de 2024",20,3727,15520,NC,46 - GOBIERNO DE LA PROVINCIA DE T. DEL FUEGO,46 - ACCIÓN SOCIAL,CPTO:ANULA FC B-20-23576,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"lunes, 19 de febrero de 2024",20,3726,"10005,13",NC,46 - GOBIERNO DE LA PROVINCIA DE T. DEL FUEGO,46 - ACCIÓN SOCIAL,CPTO:ANULA FC B-20-23571,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"viernes, 9 de febrero de 2024",20,3724,"7936,5",NC,46 - GOBIERNO DE LA PROVINCIA DE T. DEL FUEGO,46 - ACCIÓN SOCIAL,CPTO:DEBITO PARCIAL S/FB 20-23381-INTERNACIÓN,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"viernes, 9 de febrero de 2024",20,3723,4420,NC,46 - GOBIERNO DE LA PROVINCIA DE T. DEL FUEGO,46 - ACCIÓN SOCIAL,CPTO:DEBITO PARCIAL S/FB 20-23377 - INTERNACION,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"viernes, 9 de febrero de 2024",20,3722,"19629,07",NC,46 - GOBIERNO DE LA PROVINCIA DE T. DEL FUEGO,46 - ACCIÓN SOCIAL,CPTO:DEBITO PARCIAL S/FB 20-23376 - INTERNACION,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"viernes, 9 de febrero de 2024",20,3721,16055,NC,46 - GOBIERNO DE LA PROVINCIA DE T. DEL FUEGO,46 - ACCIÓN SOCIAL,CPTO:DEBITO PARCIAL S/FB 20-23374 - INTERNACION,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"jueves, 8 de febrero de 2024",20,3720,"81936,59",NC,46 - GOBIERNO DE LA PROVINCIA DE T. DEL FUEGO,46 - ACCIÓN SOCIAL,CPTO:DEBITO PARCIAL S/FB 20-23115 - INTERNACION,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"miércoles, 7 de febrero de 2024",20,3719,"144414,38",NC,74 - O.S. E.F.,74 - O.S.E.F.,CPTO:DEBITO PARCIAL S/FC B-20-13343 EMF. EXPTE. N° 719/2024,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"martes, 30 de enero de 2024",20,3717,"409,57",NC,151 - O.S. C.T.C.P. - (UTA),151 - U.T.A.,CPTO:DEBITO PARCIAL S/FB 20-23266 - AMBULATORIO,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"lunes, 29 de enero de 2024",20,3715,"323383,08",NC,144 - ASOCIACION MUTUAL SANCOR116190,144 - SANCOR,CPTO:DEBITO PARCIAL S/FB 20-23120 - AMBULATORIO,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"lunes, 29 de enero de 2024",20,3714,"224984,49",NC,74 - O.S. E.F.,74 - O.S.E.F.,CPTO:EXTRA MONTO FIJO NOVIEMBRE 2023 EXPEDIENTE N.°6184/2023.,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"viernes, 26 de enero de 2024",20,3713,"416043,85",NC,46 - GOBIERNO DE LA PROVINCIA DE T. DEL FUEGO,1046 - HEMODINAMIA ANEXO I,CPTO:DÉBITO TOTAL S/ FC B-20-23354 HEMODINAMIA HRGG,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"viernes, 26 de enero de 2024",20,3712,"263494,2",NC,46 - GOBIERNO DE LA PROVINCIA DE T. DEL FUEGO,1046 - HEMODINAMIA ANEXO I,CPTO:DÉBITO TOTAL S/ FC B-20-23353 HEMODINAMIA USH,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"jueves, 25 de enero de 2024",20,3711,"22495,99",NC,49 - PAMI - I.N.S.S.J.P.-USH,1249 - O.P.(MODULOS/VARIOS),CPTO:DEBITO PARCIAL S/FB 20-22935- MOD.PRESTACION MODULADA OCT´23,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"jueves, 25 de enero de 2024",20,3709,"31230,76",NC,73 - O.S. D.O.P. (MAESTROS PRIVADOS),73,CPTO:DEBITO PARCIAL S/FB 20-23263,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"viernes, 19 de enero de 2024",20,3706,"13721,24",NC,46 - GOBIERNO DE LA PROVINCIA DE T. DEL FUEGO,46 - ACCIÓN SOCIAL,CPTO:DEBITO PARCIAL S/FB 20-23218,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"jueves, 18 de enero de 2024",20,3703,"1138,43",NC,144 - ASOCIACION MUTUAL SANCOR116190,1144 - CON PRESUPUESTO PREV,CPTO:DEBITO PARCIAL S/FB 20-23121,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"miércoles, 17 de enero de 2024",20,3701,"7304,8",NC,25 - O.S DEL PODER JUDICIAL (0375),25 - PODER JUDICIAL,CPTO:DEBITO PARCIAL S/FB 20-22456,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"viernes, 12 de enero de 2024",20,3700,"44588,77",NC,74 - O.S. E.F.,74 - O.S.E.F.,CPTO:€DÉBITOS S/ AMBULATORIO NOVIEMBRE 2023 EXPTE. Nº 6013/2023,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"viernes, 12 de enero de 2024",20,3699,"19209,29",NC,74 - O.S. E.F.,74 - O.S.E.F.,CPTO:DEBITOS S/ EXTRA MONTO FIJO€€ EXPTE. Nº 6184/2023,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"viernes, 12 de enero de 2024",20,3698,"47,37",NC,113 - SWISS MEDICAL ART S.A.,4113 - PERIODICOS,CPTO:DEBITO PARCIAL S/FB 20-23135,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"viernes, 12 de enero de 2024",20,3697,3770,NC,61 - EXPERTA A.R.T. S.A.,61 - EXPERTA ART SA,CPTO:DEBITO PARCIAL S/FB 20-23058,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"lunes, 8 de enero de 2024",20,3696,"10408,14",NC,46 - GOBIERNO DE LA PROVINCIA DE T. DEL FUEGO,1046 - HEMODINAMIA ANEXO I,CPTO:DEBITO TOTAL S/FB 20-23117,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"lunes, 8 de enero de 2024",20,3695,"145821,98",NC,46 - GOBIERNO DE LA PROVINCIA DE T. DEL FUEGO,46 - ACCIÓN SOCIAL,CPTO:EBITO TOTAL S/FB 20-23114,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"lunes, 8 de enero de 2024",20,3694,"1924,71",NC,46 - GOBIERNO DE LA PROVINCIA DE T. DEL FUEGO,1046 - HEMODINAMIA ANEXO I,CPTO:DEBITO TOTAL S/FB 20-23112,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"lunes, 8 de enero de 2024",20,3693,"866,98",NC,46 - GOBIERNO DE LA PROVINCIA DE T. DEL FUEGO,1046 - HEMODINAMIA ANEXO I,CPTO:DEBITO TOTAL S/FB 20-23109,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"lunes, 8 de enero de 2024",20,3692,"1510,24",NC,46 - GOBIERNO DE LA PROVINCIA DE T. DEL FUEGO,1046 - HEMODINAMIA ANEXO I,CPTO:DEBITO TOTAL S/FB 20-23108,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"lunes, 8 de enero de 2024",20,3691,"670,98",NC,46 - GOBIERNO DE LA PROVINCIA DE T. DEL FUEGO,1046 - HEMODINAMIA ANEXO I,CPTO:DEBITO TOTAL S/FB 20-23107,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"lunes, 8 de enero de 2024",20,3690,"39131,56",NC,46 - GOBIERNO DE LA PROVINCIA DE T. DEL FUEGO,1046 - HEMODINAMIA ANEXO I,CPTO:DEBITO TOTAL S/FB 20-23106,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"lunes, 8 de enero de 2024",20,3689,"7977,76",NC,46 - GOBIERNO DE LA PROVINCIA DE T. DEL FUEGO,1046 - HEMODINAMIA ANEXO I,CPTO:DEBITO TOTAL S/FB 20-23105,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"lunes, 8 de enero de 2024",20,3688,"27014,33",NC,122 - JERARQUICOS SALUD (3265),122 - JERARQUICOS,CPTO:DEBITO PARCIAL S/FB 20-22436,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"lunes, 8 de enero de 2024",20,3687,"66783,44",NC,113 - SWISS MEDICAL ART S.A.,113 - SMG ART,CPTO:DEBITO PARCIAL S/FB 20-22926,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"lunes, 8 de enero de 2024",20,3686,3855,NC,25 - O.S DEL PODER JUDICIAL (0375),1025 - CON PRESUPUESTO PREV,CPTO:DEBITO PARCIAL S/FB 20-22943,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"lunes, 8 de enero de 2024",20,3685,"51870,2",NC,25 - O.S DEL PODER JUDICIAL (0375),25 - PODER JUDICIAL,CPTO:DEBITO PARCIAL S/FB 20-22942,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"lunes, 8 de enero de 2024",20,3684,"26084,83",NC,133 - O.S. P.E.D.Y C.,133 - UTEDYC,CPTO:DEBITO PARCIAL S/FB 20-22654,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"viernes, 5 de enero de 2024",20,3683,"15940,4",NC,144 - ASOCIACION MUTUAL SANCOR116190,1144 - CON PRESUPUESTO PREV,CPTO:DEBITO PARCIAL S/FB 20-22903,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"viernes, 5 de enero de 2024",20,3682,"11699,6",NC,73 - O.S. D.O.P. (MAESTROS PRIVADOS),73,CPTO:DEBITO PARCIAL S/FB 20-22937,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"miércoles, 3 de enero de 2024",20,3679,"132454,88",NC,46 - GOBIERNO DE LA PROVINCIA DE T. DEL FUEGO,46 - ACCIÓN SOCIAL,CPTO:DEBITO PARCIAL S/FB 20-23100 - INTENACION,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"jueves, 28 de marzo de 2024",20,3174,"139324,85",NC,199 - PAX & CREW S.R.L.,199 - PASAJEROS & TRIPULAN,CPTO:DEBITO PARCIAL S/FA 20-13674 - INTERNACION,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,A
"jueves, 28 de marzo de 2024",20,3173,"25969,23",NC,199 - PAX & CREW S.R.L.,199 - PASAJEROS & TRIPULAN,CPTO:DEBITO PARCIAL S/FA 20-13671 - INTERNACION,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,A
"jueves, 28 de marzo de 2024",20,3172,"30489,42",NC,199 - PAX & CREW S.R.L.,199 - PASAJEROS & TRIPULAN,CPTO:DEBITO PARCIAL S/FA 20-13664 - INTERNACION,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,A
"jueves, 28 de marzo de 2024",20,3171,"23956,6",NC,199 - PAX & CREW S.R.L.,199 - PASAJEROS & TRIPULAN,CPTO:DEBITO PARCIAL S/FA 20-13624 - TOMOGRAFIA,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,A
"jueves, 28 de marzo de 2024",20,3170,"496403,07",NC,199 - PAX & CREW S.R.L.,199 - PASAJEROS & TRIPULAN,CPTO:DEBITO PARCIAL S/FA 20-13602 - INTERNACION,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,A
"jueves, 21 de marzo de 2024",20,3169,4095,NC,139 - O.S. D.E.P.Y M.,139 - PYME4000-PERSONAL,CPTO:DEBITO PARCIAL S/FA 20-13638 - AMBULATORIO,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,A
"jueves, 21 de marzo de 2024",20,3168,"8579,48",NC,139 - O.S. D.E.P.Y M.,139 - PYME4000-PERSONAL,CPTO:DEBITO PARCIAL S/FA 20-13526,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,A
"miércoles, 20 de marzo de 2024",20,3167,"1339,5",NC,15 - MEDLINK SA,615 - UP-ACCORD DORADO,CPTO:DEBITO PARCIAL S/FA 20-13615,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,A
"miércoles, 20 de marzo de 2024",20,3166,"12195,31",NC,15 - MEDLINK SA,515 - UP-PMO-VERDE -AMBULA,CPTO:DEBITO PARCIAL S/FA 20-13614 - AMBULATORIO,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,A
"miércoles, 20 de marzo de 2024",20,3165,"16484,62",NC,15 - MEDLINK SA,415 - UP-CLASIC,CPTO:DEBITO PARCIAL S/FA 20-13611 - AMBULATORIO,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,A
"miércoles, 20 de marzo de 2024",20,3164,"27957,04",NC,15 - MEDLINK SA,190 - CON AUT. DE U.P.,CPTO:DEBITO PARCIAL S/FA 20-13437 - INTERNACION,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,A
"martes, 19 de marzo de 2024",20,3163,"664,3",NC,23 - AVALIAN SALUD Y BIENESTAR COOPERATIVA LT,23 - AVALIAN,CPTO:DEBITO PARCIAL S/FA 20-13204 - AMBULATORIO,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,A
"martes, 19 de marzo de 2024",20,3162,"13377,44",NC,13 - O.S. M.A.T.A.,13 - PLAN PMI,CPTO:DEBITO PARCIAL S/FA 20-13502 - INTERNACION Y AMBULATORIO,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,A
"martes, 19 de marzo de 2024",20,3161,"11588,81",NC,13 - O.S. M.A.T.A.,13 - PLAN PMI,CPTO:DEBITO TOTAL S/REF FA 20-13379 - INTERNACION Y AMBULATORIO,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,A
"martes, 19 de marzo de 2024",20,3160,"5138,32",NC,13 - O.S. M.A.T.A.,13 - PLAN PMI,CPTO:DEBITO TOTAL S/REFACT FA 20-13353 - AMBULATORIO,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,A
"martes, 19 de marzo de 2024",20,3159,"37238,29",NC,103 - CLINICA DEL VALLE SALUD S.R.L.,3103 - OMINT S.A.,CPTO:DEBITO PARCIAL S/FA 20-13506 - INTERN Y AMBUL,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,A
"martes, 19 de marzo de 2024",20,3158,"18035,5",NC,199 - PAX & CREW S.R.L.,199 - PASAJEROS & TRIPULAN,CPTO:DEBITO PARCIAL S/FA 20-13604 - INTERNACION,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,A
"martes, 19 de marzo de 2024",20,3157,"265843,03",NC,199 - PAX & CREW S.R.L.,199 - PASAJEROS & TRIPULAN,CPTO:DEBITO PARCIAL S/FA 20-13594 - INTERNACION,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,A
"martes, 19 de marzo de 2024",20,3156,"593019,02",NC,199 - PAX & CREW S.R.L.,199 - PASAJEROS & TRIPULAN,CPTO:DEBITO PARCIAL S/FA 20-13584 - INTERNACION,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,A
"martes, 19 de marzo de 2024",20,3155,"26568,51",NC,199 - PAX & CREW S.R.L.,199 - PASAJEROS & TRIPULAN,CPTO:DEBITO PARCIAL S/FA 20-13577 - INTERNACION,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,A
"martes, 19 de marzo de 2024",20,3154,"85149,06",NC,199 - PAX & CREW S.R.L.,199 - PASAJEROS & TRIPULAN,CPTO:DEBITO PARCIAL S/FA 13576 - INTERNACION,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,A
"martes, 19 de marzo de 2024",20,3153,"12540,34",NC,199 - PAX & CREW S.R.L.,199 - PASAJEROS & TRIPULAN,CPTO:DEBITO PARCIAL S/FA 20-13575 - INTERNACION,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,A
"jueves, 14 de marzo de 2024",20,3152,"111,39",NC,23 - AVALIAN SALUD Y BIENESTAR COOPERATIVA LT,23 - AVALIAN,CPTO:DEBITO PARCIAL S/FA 20-13060 - AMBULATORIO,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,A
"jueves, 14 de marzo de 2024",20,3151,"829,53",NC,52 - GALENO ARG. S.A.,52 - GALENO,CPTO:DEBITO PARCIAL S/FA 20-13175 - DX URGENCIAS,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,A
"jueves, 14 de marzo de 2024",20,3148,"12010,7",NC,8 - O.S. PE. CON. (CONSTRUCCION),8 - UOCRA/OSPECON,CPTO:DEBITO PARCIAL S/FA 20-13173 - INTERNACION Y AMBULATORIO,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,A
"miércoles, 13 de marzo de 2024",20,3147,"14283,07",NC,199 - PAX & CREW S.R.L.,199 - PASAJEROS & TRIPULAN,CPTO:DEBITO PARCIAL S/FA 20-13603 - INTERNACION,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,A
"miércoles, 13 de marzo de 2024",20,3146,"11985,79",NC,199 - PAX & CREW S.R.L.,199 - PASAJEROS & TRIPULAN,CPTO:DEBITO PARCIAL S/FA 20-13595 - AMBULATORIO,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,A
"miércoles, 13 de marzo de 2024",20,3145,"26568,51",NC,199 - PAX & CREW S.R.L.,199 - PASAJEROS & TRIPULAN,CPTO:DEBITO PARCIAL S/FA 20-13546 - AMBULATORIO,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,A
"jueves, 7 de marzo de 2024",20,3144,"29296,48",NC,199 - PAX & CREW S.R.L.,199 - PASAJEROS & TRIPULAN,CPTO:DEBITO PARCIAL S/FA 20-13501 - INTERNACION,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,A
